DATE,TAVG,HDDi,HDDs
2021/1/1,-8.75,26.75,26.75
2021/1/2,-6.5,24.5,51.25
2021/1/3,-8,26.0,77.25
2021/1/4,-7.25,25.25,102.5
2021/1/5,-9.125,27.125,129.625
2021/1/6,-19.75,37.75,167.375
2021/1/7,-16.375,34.375,201.75
2021/1/8,-8.875,26.875,228.625
2021/1/9,-4.125,22.125,250.75
2021/1/10,-2.875,20.875,271.625
2021/1/11,-5.75,23.75,295.375
2021/1/12,-5.25,23.25,318.625
2021/1/13,0.5,17.5,336.125
2021/1/14,-1.625,19.625,355.75
2021/1/15,-4.875,22.875,378.625
2021/1/16,-6.25,24.25,402.875
2021/1/17,-4.875,22.875,425.75
2021/1/18,-3.625,21.625,447.375
2021/1/19,-7.5,25.5,472.875
2021/1/20,-5.875,23.875,496.75
2021/1/21,-2.75,20.75,517.5
2021/1/22,-4.625,22.625,540.125
2021/1/23,-5.375,23.375,563.5
2021/1/24,-2.25,20.25,583.75
2021/1/25,-4,22.0,605.75
2021/1/26,-1.5,19.5,625.25
2021/1/27,-0.625,18.625,643.875
2021/1/28,-10.25,28.25,672.125
2021/1/29,-8.25,26.25,698.375
2021/1/30,-2.875,20.875,719.25
2021/1/31,-5.375,23.375,742.625
2021/2/1,-3.5,21.5,764.125
2021/2/2,-7.125,25.125,789.25
2021/2/3,-4,22.0,811.25
2021/2/4,-1.25,19.25,830.5
2021/2/5,5.25,12.75,843.25
2021/2/6,7.75,10.25,853.5
2021/2/7,-1.625,19.625,873.125
2021/2/8,-1.375,19.375,892.5
2021/2/9,-0.375,18.375,910.875
2021/2/10,8.5,9.5,920.375
2021/2/13,3.25,14.75,935.125
2021/2/14,0.875,17.125,952.25
2021/2/15,0.875,17.125,969.375
2021/2/16,-4.75,22.75,992.125
2021/2/17,-5.375,23.375,1015.5
2021/2/18,-1.875,19.875,1035.375
2021/2/19,11.25,6.75,1042.125
2021/2/21,14.5,3.5,1045.625
2021/2/22,6.75,11.25,1056.875
2021/2/23,-0.875,18.875,1075.75
2021/2/24,-1,19.0,1094.75
2021/2/25,2.25,15.75,1110.5
2021/2/26,4.25,13.75,1124.25
2021/2/27,7.25,10.75,1135.0
2021/2/28,4.125,13.875,1148.875
2021/3/1,3.25,14.75,1163.625
2021/3/2,4,14.0,1177.625
2021/3/3,6.375,11.625,1189.25
2021/3/4,6.875,11.125,1200.375
2021/3/5,5.5,12.5,1212.875
2021/3/6,0.25,17.75,1230.625
2021/3/7,3.125,14.875,1245.5
2021/3/8,4.5,13.5,1259.0
2021/3/9,9.5,8.5,1267.5
2021/3/10,12,6.0,1273.5
2021/3/11,16.625,1.375,1274.875
2021/3/12,8.875,9.125,1284.0
2021/3/13,12.5,5.5,1289.5
2021/3/14,12.75,5.25,1294.75
2021/3/15,9.875,8.125,1302.875
2021/3/16,12.625,5.375,1308.25
2021/3/17,12.125,5.875,1314.125
2021/3/18,8.25,9.75,1323.875
2021/3/19,7.875,10.125,1334.0
2021/3/20,10,8.0,1342.0
2021/3/21,11.625,6.375,1348.375
2021/3/22,15.75,2.25,1350.625
2021/3/23,17.625,0.375,1351.0
2021/3/24,17.875,0.125,1351.125
2021/3/25,19,0,1351.125
2021/3/26,15.875,2.125,1353.25
2021/3/27,17.625,0.375,1353.625
2021/3/28,17.875,0.125,1353.75
2021/3/29,14.875,3.125,1356.875
2021/3/30,18.625,0,1356.875
2021/3/31,21.375,0,1356.875
2021/4/1,19.875,0,1356.875
2021/4/2,17.25,0.75,1357.625
2021/4/3,14.375,3.625,1361.25
2021/4/4,16.625,1.375,1362.625
2021/4/5,16.5,1.5,1364.125
