基线温度,实际指数,预测指数,指数相对误差%,实际价格,预测价格,价格相对误差%
0,139.75,0.00033231509577800447,99.99976220744489,38520.76250063224,38324.59712377798,0.5121973939482327
1,173.375,0.6263294536520374,99.63874292507452,38520.76250063224,38319.395068631056,0.5148568541179399
2,211.5,16.666379153905297,92.1199152936618,38882.425967929026,38678.35358415607,0.5042447379188131
3,251.75,54.49573939754279,78.35323161964537,39884.98479864451,39689.47532493587,0.49451122656472
4,293.125,95.86911069601241,67.29412001841794,40947.494918012,40743.00661369815,0.4813945583478696
5,335.125,137.83279342318704,58.87122911654248,42025.60994501598,41826.35917611489,0.45861555634345574
6,378.0,180.65717296896904,52.20709709815634,43126.01176032752,42930.12928072026,0.4605243822803917
7,422.375,225.045174464205,46.719106371303944,44265.75126014127,44068.52172304308,0.4237960287014064
8,467.75,270.4878412842401,42.17256199161088,45431.87318495331,45225.505919051204,0.43427180812515287
9,514.875,317.5666061088163,38.32161085529181,46641.47346877762,46441.86642651324,0.42229533077855486
10,566.125,368.793331656378,34.85655435524346,47957.30067099765,47756.54176994775,0.42715070634447017
11,621.75,424.3804901132526,31.74419137704019,49385.29305203097,49188.492637309944,0.39213297073785736
12,680.125,482.77324169416556,29.016983393616535,50884.62066082469,50685.759549274764,0.3784504548263956
13,741.25,544.0775559184995,26.599992456188946,52456.64417294163,52252.10137250228,0.36478430677292506
14,806.875,609.643878480698,24.443826059712094,54141.174099129064,53939.13055826975,0.38487724117445277
15,877.25,679.9704958293797,22.488401729338303,55947.81862757687,55750.01635914253,0.34286739466650173
16,952.625,755.3985998638163,20.703466750944354,57884.16881253309,57682.46112016287,0.3305849223936841
17,1032.75,835.3991147521033,19.109260251551362,59940.221122300805,59737.53444342474,0.32800434813746726
18,1115.125,917.8400803925123,17.69173138504542,62056.500011882985,61855.27190114261,0.3296154153767161
19,1203.25,1006.0060682105935,16.392597697021106,64320.12110279704,64126.06896400879,0.3175936118326894
20,1293.75,1096.6071766087484,15.23809262927548,66645.50536453257,66442.73723633884,0.2845414250015277
21,1385.875,1188.6600885822684,14.23035348914813,69010.39656619735,68819.18578709388,0.28529479062128216
22,1479.625,1282.3245240000147,13.334491915180225,71416.84555150304,71217.8557713914,0.28734341310755473
23,1575.125,1377.7590893422357,12.530174472360244,73868.49389973942,73671.01185770723,0.27096350077732145
24,1672.625,1475.4695181386369,11.787189708473989,76375.04542151034,76166.5719142936,0.2589956974577201
25,1773.5,1576.2481697951737,11.122178190291866,78964.32956245923,78769.10079273395,0.2504286026727254
26,1877.5,1680.311325630201,10.502725665501945,81635.9133661436,81436.01610439668,0.24898063576310747
27,1988.375,1791.3501296807353,9.908838640561502,84485.3430132911,84276.49060124006,0.22899751872560437
28,2101.125,1904.085705093906,9.37779974566454,87380.6351125608,87175.42946247336,0.23219312591612473
29,2220.875,2023.580695061079,8.88362942258889,90452.60159189135,90260.89655607827,0.20266015090304457
30,2348.375,2151.2828840014627,8.392702017290144,93729.46256182935,93537.72745514485,0.20915627454688446
31,2482.5,2285.053692917865,7.953526972090019,97169.31283855718,96961.97791554408,0.2062203361319237
32,2625.5,2428.3720351964284,7.508206619827518,100845.71312605294,100654.62066754057,0.20047835935123048
33,2780.25,2582.818582407216,7.1012109555897425,104815.87537976036,104616.44373942609,0.1935846255654461
34,2939.75,2742.619728321541,6.705681492591509,108915.78324907551,108711.24815091766,0.20581901008071002
35,3107.625,2910.2680878833316,6.350731253502861,113223.98846477349,113022.97098477288,0.1711869708120317
36,3281.5,3084.0730294185655,6.016363570971639,117688.28728281097,117474.90500913415,0.1488304244064209
37,3458.125,3260.9877740187944,5.700696937826299,122227.82746157085,122032.61864670855,0.1506540755619179
38,3639.375,3442.4172854532826,5.411855457234205,126884.72456950859,126687.42990830433,0.15050151102720122
39,3822.75,3625.590389462157,5.157533465119169,131591.29538936957,131401.5447664744,0.13486085367278022
40,4006.75,3809.449643249755,4.924199332382728,136314.70170564018,136090.93231732683,0.14701439126996174
