基线温度,实际指数,预测指数,指数相对误差%,实际价格,预测价格,价格相对误差%
0,0,0.0,nan,38520.76250063224,38321.8406139812,0.5264978551323019
1,0,0.0,nan,38520.76250063224,38319.55314121645,0.510611317223808
2,0,0.0,nan,38520.76250063224,38326.245632135186,0.5439150723557384
3,0,0.0,nan,38520.76250063224,38322.734051501044,0.5202280902542267
4,0,0.0,nan,38520.76250063224,38325.26108407151,0.5160056003797764
5,0,0.0,nan,38520.76250063224,38320.91447491566,0.4996426154380784
6,0,0.0,nan,38520.76250063224,38324.572366513305,0.5020265574625538
7,0,0.0,nan,38520.76250063224,38323.00994817896,0.5109289003749073
8,0,0.0,nan,38520.76250063224,38324.92445972384,0.5167008779163651
9,0,0.0,nan,38520.76250063224,38319.01709795303,0.5005897323783648
10,0,0.0,nan,38520.76250063224,38323.15877487632,0.5115374063855094
11,0,0.0,nan,38520.76250063224,38323.52989711939,0.5179791587163862
12,0,0.0,nan,38520.76250063224,38325.39642781896,0.5160367688241352
13,0,0.0,nan,38520.76250063224,38322.57120693301,0.5290945915086387
14,0,0.0,nan,38520.76250063224,38323.05495639252,0.49438990401096117
15,0.25,0.0,100.0,38520.76250063224,38328.060996624175,0.5111934449064437
16,2.125,0.0,100.0,38520.76250063224,38321.00705211617,0.5126748320248065
17,6.375,0.0,100.0,38520.76250063224,38317.13814684108,0.5152117306213788
18,12.375,0.0,100.0,38520.76250063224,38323.00125358529,0.4912976828638005
19,19.75,0.0,100.0,38520.76250063224,38323.149282959384,0.5115311200888817
20,28.75,0.0,100.0,38520.76250063224,38323.85883419244,0.5170555219266015
21,40.75,0.0,100.0,38520.76250063224,38320.91751841934,0.5140992027229396
22,60.5,0.0,100.0,38520.76250063224,38319.09665447127,0.5094214811424025
23,90.5,0.0,100.0,38520.76250063224,38329.64991016714,0.5149156578082348
24,132.5,9.61296372130702e-06,99.99999274493304,38520.76250063224,38319.02435869059,0.5199431500969132
25,189.75,3.9831267122786262,97.9008554876002,38520.76250063224,38326.26497752409,0.5220217559598561
26,266.875,69.57309235867416,73.93045719581296,40272.79068710318,40074.28742282533,0.48699369008631255
27,359.25,161.9230674878664,54.92746903608451,42644.70631873212,42447.48982193359,0.46482879276317224
28,461.75,264.36520741026357,42.74711263448542,45276.21548483945,45084.3860282525,0.44770914409464346
29,569.75,372.39041965578383,34.63968062206515,48050.03411652557,47846.33241239801,0.43373784274672866
30,685.625,488.3459404176095,28.773609419491773,51026.79692674697,50831.191373503745,0.3722066635447385
31,803.25,606.090273932348,24.545250677578835,54048.99899216474,53843.20954871608,0.35382208982815966
32,922.625,725.5571599392704,21.359473248690385,57115.789514189986,56913.52940398583,0.33479953447952404
33,1045.625,848.2715403232676,18.874210130470527,60270.824610777316,60070.62760306544,0.3277587711409069
34,1171.5,974.1363682279022,16.84708764593238,63503.2279849988,63309.962379176024,0.30761882314036537
35,1307.5,1110.1302651041067,15.095199609628551,66995.69875272871,66801.3423028969,0.29466952146186554
36,1458.25,1260.9508673320688,13.529856517602001,70867.94193459403,70690.77917795008,0.2809618231026323
37,1621.375,1424.0221984453499,12.17194057849974,75056.38573439147,74862.2728574087,0.27342308650218916
38,1800.0,1602.7941693301202,10.955879481659991,79645.453679024,79437.51564147093,0.25325605890674785
39,1983.0,1785.6918448316562,9.949982610607355,84343.67283153337,84136.73280692782,0.23807469243800616
40,2166.0,1968.2913685720544,9.127822318926393,89038.06363964941,88846.53174104264,0.20201249338632765
